Date	Open	High	Low	Close
Jun 22, 2025 00:00	2.06113	2.04926	2.06305	2.05141
Jun 20, 2025 00:00	2.04148	2.03882	2.05208	2.05010
Jun 19, 2025 00:00	2.02844	2.02503	2.05322	2.04161
Jun 18, 2025 00:00	2.04123	2.02380	2.04733	2.02811
Jun 17, 2025 00:00	2.03178	2.02237	2.04725	2.03488
Jun 16, 2025 00:00	2.04708	2.02589	2.04981	2.03194
Jun 15, 2025 00:00	2.05571	2.04666	2.05774	2.04708
Jun 13, 2025 00:00	2.04157	2.03994	2.06326	2.04738
Jun 12, 2025 00:00	2.02425	2.02392	2.04169	2.04165
Jun 11, 2025 00:00	2.00795	2.00771	2.02688	2.02433
Jun 10, 2025 00:00	2.01296	2.00618	2.01776	2.00763
Jun 09, 2025 00:00	2.02179	2.01082	2.02319	2.01300
Jun 08, 2025 00:00	2.02980	2.02057	2.02980	2.02175
Jun 06, 2025 00:00	2.02049	2.01418	2.02355	2.02008
Jun 05, 2025 00:00	2.02856	2.01098	2.02869	2.02045
Jun 04, 2025 00:00	2.02368	2.01796	2.03463	2.02848
Jun 03, 2025 00:00	2.02634	2.02065	2.04094	2.02360
Jun 02, 2025 00:00	2.03600	2.02491	2.03629	2.02638
Jun 01, 2025 00:00	2.04086	2.03488	2.04428	2.03604
May 30, 2025 00:00	2.03583	2.03099	2.04207	2.03579
May 29, 2025 00:00	2.01674	2.01406	2.04524	2.03579
May 28, 2025 00:00	2.03264	2.01321	2.03936	2.01686
May 27, 2025 00:00	2.03413	2.02992	2.03936	2.03264
May 26, 2025 00:00	2.02967	2.02090	2.03712	2.03368
May 25, 2025 00:00	2.03915	2.02819	2.04165	2.02951
May 23, 2025 00:00	2.04721	2.03046	2.04763	2.03537
May 22, 2025 00:00	2.04357	2.04107	2.05170	2.04717
May 21, 2025 00:00	2.04065	2.03108	2.04780	2.04349
May 20, 2025 00:00	2.02004	2.01808	2.04394	2.04069
May 19, 2025 00:00	2.03397	2.01914	2.03625	2.02020
May 18, 2025 00:00	2.03542	2.03260	2.04011	2.03401
May 16, 2025 00:00	2.03998	2.02265	2.04616	2.02729
May 15, 2025 00:00	2.01597	2.01377	2.04219	2.03990
May 14, 2025 00:00	2.00694	2.00381	2.02294	2.01597
May 13, 2025 00:00	2.01955	2.00024	2.02659	2.00678
May 12, 2025 00:00	2.02622	2.00916	2.02910	2.01963
May 11, 2025 00:00	2.02462	2.02327	2.02939	2.02610
May 09, 2025 00:00	2.03811	2.03364	2.04474	2.03430
May 08, 2025 00:00	2.04319	2.03252	2.04721	2.03828
May 07, 2025 00:00	2.01386	2.01049	2.05015	2.04344
May 06, 2025 00:00	2.04065	2.01094	2.04077	2.01398
May 05, 2025 00:00	2.03957	2.02360	2.04332	2.04057
May 04, 2025 00:00	2.04207	2.03368	2.04286	2.03936
May 02, 2025 00:00	2.04028	2.02790	2.05027	2.03504
May 01, 2025 00:00	2.03969	2.03128	2.04612	2.04048
Apr 30, 2025 00:00	2.04545	2.03662	2.06016	2.03965
Apr 29, 2025 00:00	2.04261	2.02947	2.05191	2.04528
Apr 28, 2025 00:00	2.02733	2.02269	2.04328	2.04094
Apr 27, 2025 00:00	2.02725	2.02462	2.03434	2.02893
Apr 25, 2025 00:00	2.01589	2.00598	2.02815	2.02556
Apr 24, 2025 00:00	2.02606	2.01459	2.03227	2.01597
Apr 23, 2025 00:00	2.03211	2.01715	2.03911	2.02606
Apr 22, 2025 00:00	2.06003	2.03042	2.06067	2.03231
Apr 21, 2025 00:00	2.06560	2.05761	2.07348	2.05990
Apr 20, 2025 00:00	2.06671	2.05782	2.07168	2.06552
Apr 18, 2025 00:00	2.04801	2.04549	2.06594	2.06343
Apr 17, 2025 00:00	2.07014	2.03625	2.07250	2.04763
Apr 16, 2025 00:00	2.06778	2.05973	2.08130	2.07035
Apr 15, 2025 00:00	2.08899	2.05660	2.08899	2.06770
Apr 14, 2025 00:00	2.09494	2.06735	2.10340	2.08882
Apr 13, 2025 00:00	2.10234	2.09201	2.10380	2.09486
Apr 11, 2025 00:00	2.11995	2.09833	2.12997	2.10141
Apr 10, 2025 00:00	2.07387	2.04821	2.12112	2.11999
Apr 09, 2025 00:00	2.14371	2.06177	2.15675	2.07383
Apr 08, 2025 00:00	2.10111	2.07521	2.14878	2.14358
Apr 07, 2025 00:00	2.11932	2.05141	2.12477	2.10106
Apr 06, 2025 00:00	2.10075	2.09674	2.12188	2.11936
Apr 04, 2025 00:00	2.01118	2.00977	2.09912	2.08407
Apr 03, 2025 00:00	1.99140	1.98448	2.01808	2.01114
Apr 02, 2025 00:00	1.98118	1.96352	1.99724	1.99156
Apr 01, 2025 00:00	1.99565	1.98047	1.99940	1.98141
Mar 31, 2025 00:00	1.98938	1.98866	2.00312	1.99589
Mar 30, 2025 00:00	1.99148	1.98863	1.99430	1.98946
Mar 28, 2025 00:00	1.97785	1.97648	1.98558	1.98425
Mar 27, 2025 00:00	1.97808	1.96607	1.98083	1.97781
Mar 26, 2025 00:00	1.97652	1.96359	1.98118	1.97812
