Date	Open	High	Low	Close
Jun 23, 2025 00:00	1.89717	1.89631	1.91795	1.91549
Jun 22, 2025 00:00	1.90676	1.89613	1.90730	1.89717
Jun 20, 2025 00:00	1.88854	1.88409	1.89833	1.89602
Jun 19, 2025 00:00	1.88097	1.87568	1.89703	1.88854
Jun 18, 2025 00:00	1.89505	1.87473	1.89984	1.87712
Jun 17, 2025 00:00	1.88740	1.87815	1.89984	1.88890
Jun 16, 2025 00:00	1.89735	1.88101	1.90346	1.88750
Jun 15, 2025 00:00	1.90483	1.89696	1.90592	1.89728
Jun 13, 2025 00:00	1.89717	1.89075	1.91850	1.89854
Jun 12, 2025 00:00	1.87719	1.87681	1.89707	1.89707
Jun 11, 2025 00:00	1.86338	1.86327	1.87981	1.87723
Jun 10, 2025 00:00	1.86839	1.86140	1.87354	1.86327
Jun 09, 2025 00:00	1.87340	1.86602	1.87368	1.86850
Jun 08, 2025 00:00	1.87645	1.87276	1.87684	1.87343
Jun 06, 2025 00:00	1.87463	1.86884	1.87688	1.87217
Jun 05, 2025 00:00	1.88352	1.86741	1.88377	1.87477
Jun 04, 2025 00:00	1.87977	1.87185	1.88865	1.88349
Jun 03, 2025 00:00	1.88576	1.87645	1.89599	1.87984
Jun 02, 2025 00:00	1.88765	1.88115	1.89118	1.88597
Jun 01, 2025 00:00	1.89054	1.88612	1.89387	1.88768
May 30, 2025 00:00	1.88786	1.88523	1.89555	1.88733
May 29, 2025 00:00	1.86975	1.86706	1.89337	1.88783
May 28, 2025 00:00	1.87498	1.86644	1.88854	1.86996
May 27, 2025 00:00	1.88133	1.87445	1.88469	1.87491
May 26, 2025 00:00	1.87038	1.86654	1.88313	1.88115
May 25, 2025 00:00	1.88150	1.86884	1.88186	1.87017
May 23, 2025 00:00	1.88381	1.87178	1.89047	1.87572
May 22, 2025 00:00	1.88466	1.87719	1.88740	1.88363
May 21, 2025 00:00	1.88239	1.87354	1.88807	1.88466
May 20, 2025 00:00	1.85525	1.85357	1.88562	1.88249
May 19, 2025 00:00	1.86790	1.85481	1.87021	1.85536
May 18, 2025 00:00	1.86853	1.86665	1.87161	1.86804
May 16, 2025 00:00	1.87052	1.85953	1.87642	1.86074
May 15, 2025 00:00	1.84952	1.84485	1.87287	1.87045
May 14, 2025 00:00	1.84054	1.83797	1.85292	1.84939
May 13, 2025 00:00	1.85742	1.83422	1.86296	1.84040
May 12, 2025 00:00	1.86801	1.84403	1.87031	1.85746
May 11, 2025 00:00	1.86933	1.86345	1.87101	1.86790
May 09, 2025 00:00	1.88087	1.87459	1.88381	1.87596
May 08, 2025 00:00	1.88686	1.87470	1.89143	1.88083
May 07, 2025 00:00	1.86157	1.85967	1.89430	1.88711
May 06, 2025 00:00	1.88267	1.85725	1.88448	1.86192
May 05, 2025 00:00	1.88292	1.86734	1.88683	1.88274
May 04, 2025 00:00	1.87913	1.87681	1.88310	1.88296
May 02, 2025 00:00	1.88904	1.87171	1.89186	1.87726
May 01, 2025 00:00	1.88854	1.88026	1.89642	1.88911
Apr 30, 2025 00:00	1.90190	1.88726	1.91311	1.88829
Apr 29, 2025 00:00	1.89923	1.88637	1.90676	1.90172
Apr 28, 2025 00:00	1.89179	1.88111	1.89998	1.89653
Apr 27, 2025 00:00	1.89186	1.88658	1.89563	1.89111
Apr 25, 2025 00:00	1.88587	1.87220	1.89272	1.88865
Apr 24, 2025 00:00	1.89441	1.88455	1.90277	1.88583
Apr 23, 2025 00:00	1.89934	1.88374	1.90592	1.89444
Apr 22, 2025 00:00	1.92482	1.89800	1.92912	1.89941
Apr 21, 2025 00:00	1.92641	1.92359	1.93663	1.92482
Apr 20, 2025 00:00	1.92571	1.92023	1.92775	1.92652
Apr 18, 2025 00:00	1.91281	1.91183	1.92219	1.92090
Apr 17, 2025 00:00	1.92942	1.90396	1.93229	1.91281
Apr 16, 2025 00:00	1.92308	1.91369	1.93772	1.92924
Apr 15, 2025 00:00	1.93870	1.91256	1.93870	1.92289
Apr 14, 2025 00:00	1.93994	1.92300	1.95130	1.93889
Apr 13, 2025 00:00	1.93960	1.93671	1.94879	1.93986
Apr 11, 2025 00:00	1.95771	1.94568	1.98310	1.94643
