Date	Open	High	Low	Close
Jun 23, 2025 00:00	1.68036	1.67906	1.69443	1.69136
Jun 22, 2025 00:00	1.68651	1.67935	1.68660	1.68039
Jun 20, 2025 00:00	1.67751	1.67614	1.68217	1.67991
Jun 19, 2025 00:00	1.67529	1.67034	1.68285	1.67749
Jun 18, 2025 00:00	1.68008	1.66928	1.68336	1.67305
Jun 17, 2025 00:00	1.66836	1.66536	1.68333	1.67524
Jun 16, 2025 00:00	1.67305	1.66561	1.67631	1.66842
Jun 15, 2025 00:00	1.67802	1.67266	1.67870	1.67297
Jun 13, 2025 00:00	1.68364	1.67171	1.69150	1.67504
Jun 12, 2025 00:00	1.66967	1.66892	1.68364	1.68364
Jun 11, 2025 00:00	1.66287	1.66146	1.66992	1.66967
Jun 10, 2025 00:00	1.66817	1.66105	1.67023	1.66265
Jun 09, 2025 00:00	1.66703	1.66448	1.66956	1.66820
Jun 08, 2025 00:00	1.67012	1.66650	1.67012	1.66714
Jun 06, 2025 00:00	1.66814	1.65992	1.66814	1.66589
Jun 05, 2025 00:00	1.67216	1.66193	1.67291	1.66820
Jun 04, 2025 00:00	1.66667	1.66367	1.67597	1.67202
Jun 03, 2025 00:00	1.68031	1.66439	1.68081	1.66664
Jun 02, 2025 00:00	1.66928	1.66792	1.68081	1.68033
Jun 01, 2025 00:00	1.67210	1.66898	1.67428	1.66928
May 30, 2025 00:00	1.67960	1.66783	1.68364	1.66825
May 29, 2025 00:00	1.66356	1.66003	1.68415	1.67974
May 28, 2025 00:00	1.66934	1.66016	1.67647	1.66362
May 27, 2025 00:00	1.67459	1.66348	1.67701	1.66937
May 26, 2025 00:00	1.67048	1.66642	1.67726	1.67442
May 25, 2025 00:00	1.67546	1.66859	1.67687	1.67045
May 23, 2025 00:00	1.67322	1.67062	1.68260	1.67177
May 22, 2025 00:00	1.68045	1.66953	1.68146	1.67308
May 21, 2025 00:00	1.68245	1.67400	1.69099	1.68025
May 20, 2025 00:00	1.67165	1.66914	1.68415	1.68248
May 19, 2025 00:00	1.67045	1.66978	1.67847	1.67154
May 18, 2025 00:00	1.67372	1.66970	1.67395	1.67048
May 16, 2025 00:00	1.67177	1.66484	1.67569	1.66706
May 15, 2025 00:00	1.66149	1.66036	1.67572	1.67191
May 14, 2025 00:00	1.65981	1.65703	1.67051	1.66154
May 13, 2025 00:00	1.65401	1.65385	1.66611	1.65983
May 12, 2025 00:00	1.67015	1.65014	1.67286	1.65396
May 11, 2025 00:00	1.66781	1.66706	1.67073	1.67017
May 09, 2025 00:00	1.67423	1.67146	1.68452	1.67577
May 08, 2025 00:00	1.67884	1.67090	1.68583	1.67437
May 07, 2025 00:00	1.66728	1.66561	1.68549	1.67887
May 06, 2025 00:00	1.68124	1.66622	1.68144	1.66742
